title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4355,Can I Take It Back?,ROMANCE,shinmae,SUNDAY,5,170680,9.77,1131458,122059,ONGOING,False,"Hayan, a high school student, finally gathers the courage to confess to her crush. But somehow her confession ends up in the hands of another student named Bakha, who is rumored to be a bully and a womanizer. Hayan desperately tries to hide that she confessed to the wrong person because she is terrified by the rumors. Meanwhile, Bakha starts to take an interest in her, and opens up to her in his own way. Will Hayan be able to escape him and confess to the right person this time?"
4353,My Dud to Stud Boyfriend,DRAMA,"YERANG,SUTGGI",THURSDAY,5,95761,6.89,932492,83464,ONGOING,False,"You just wait. I’ll find a boyfriend who’s WAY better than you!
After being dumped by her hot ex-boyfriend of two years, Sia is on a mission to find the ultimate boyfriend to join her on her NewTube Channel. To her dismay, however, Minho, an overweight, nerdy otaku who gets bullied at school, asks her out. Should she accept him as her boyfriend? Can she succeed in transforming this dud into a superstud?"
4352,God Tribe,FANTASY,"Agu_JUNU,SEOPASS",THURSDAY,5,71645,9.6,574006,43018,ONGOING,False,"Latde, a member of a near-extinct God Tribe called The Hwan Tribe, is being raised in the hands of the Carnivore Tribe on the remote Carnivore Island, far away from the mainland. The Hwan Tribe members being raised on the island are sent away to the Hwan Continent upon reaching adulthood, and Latde’s older brother Latz has already left the island to live a new life in their homeland. But as Latde nears adulthood, the secret of the island is revealed, plunging it into turmoil."
4351,Fray,ACTION,GO100,MONDAY,7,89383,9.64,862983,76747,ONGOING,False,"In a world filled with demons, only knights blessed with miracles can fight against their tyranny. During a moment of desperation, Magpie was given a miracle, the one and only flame that can kill demons. But that very flame turns its owner into a demon that thirsts for ashes…
“Put in the firewood, if you don’t want to turn into a handful of ashes.”
"
4345,Taming the Marquess,ROMANCE,"Ire,KRFFR,gol_G",FRIDAY,3,133918,8.88,1588432,177079,ONGOING,True,"Laranora Ador gets more than she bargained for when she rescues a young boy from being sold off in an infamous auction house. The boy is actually Eskal Van Dyck, the ""Crazy Marquess,"" in disguise! Unaware of his violent and heartless true nature, Laranora takes Eskal under her wing. Determined to raise him with utmost care and respect, Laranora grows deeply attached to Eskal… and in return, the true Eskal begins to fall in love with her. Unfortunately, Eskal is often targeted for his powerful magic and ruthless ways, which leads to a tragic event that separates the two. But Eskal is determined to find her again as his true self. Will Laranora be able to accept who he really is? And more importantly, what will happen when something fishy brewing in the Imperial Palace may involve them both?"
4344,Nano Machine,ACTION,"Great H,GGBG,HANJUNG WOLYA",WEDNESDAY,5,60002,9.51,803510,68194,ONGOING,True,"Nanotechnology meets martial arts at the Mashin Academy. Yeo-un’s mother may not be one of the High Priest’s six official wives, but his father’s blood still qualifies him for a chance at the position of Minor Priest. Will a mysterious nanomachine injection from a future descendent help Yeo-un in this fierce competition against his powerful half-siblings?"
4316,Legends of Silica,FANTASY,Brian Edward Miller,MONDAY,10,56224,9.27,513496,50845,ONGOING,False,"Amory & Pearson, two ambitious glass crafters, learn they are evicted from their workshop and must seek out new opportunities. They never expected to find themselves as caretakers of the magical Kingdom of Silica. If they want to leave, all they must do is locate the five lost wizards of Silica, convince them to return to the Kingdom AND bring Durward, Warden of the Doors, Master Maker of Portals, and Cursed One out of exile. Simple! Join this magical adventure full of wizards, dragons, elemental creatures, and enchanted glass."
4315,Drawing on Heritage,TIPTOON,WEBTOON Creators,MONDAY,4,31594,8.3,533586,50877,COMPLETED,False,"Welcome to McDonald’s Drawing on Heritage series. Each week we are transported to moments in time, both real and fictional, drawing on the artist’s APA heritage. We hope you’ll join us as we celebrate family bonds, coming of age and what it means to grow up Asian American. Follow along as we celebrate throughout APA Heritage Month."
4314,Trash Belongs in the Trash Can!,ROMANCE,EDDiERiNG,SATURDAY,4,279003,9.59,1352703,164569,ONGOING,False,"Woobin is an expert at seducing rich ladies with his handsome looks, and lives off of the gifts he receives from them. He approaches the rich, beautiful Suji to prey on her... but ends up falling in love! Blinded by love, Woobin doesn't realize that Suji isn't the angel he thought she was, but rather has a dark side that slowly entangles him. Each with clearly different intentions, Woobin and Suji fall into a romance that can't be recycled!
"
4313,Time Roulette,FANTASY,"SN,Bae302,Choi Ye-gyun",SUNDAY,5,89804,9.35,580021,41307,ONGOING,False,"Poor law school student, Jeonghun Han, experiences a time slip via the time roulette machine he accidentally finds at his father's place. When he comes to his senses, he finds himself in the middle of a battlefield during the Joseon dynasty! But before Jeonghun can even process what’s happened, he’s approached by a messenger named Jun, who informs him that the only way he can go back to his time period is by completing the time roulette’s mission. Will Jeonghun be able to complete his mission and return to his time?"
4286,+99 Reinforced Wooden Stick,COMEDY,"HONGSIL,JIPERY",SATURDAY,5,161741,9.26,1341014,111146,ONGOING,False,"Welcome to “Chrono Life,” a virtual reality game where only the strongest survive.
Ji-u logs in to “Chrono Life,” only to be ignored and ridiculed by the other players for his lack of experience, crappy items, and being an overall noob.
But when he upgrades his wooden stick to the max reinforcement level of +99, Ji-u realizes he has the power to split continents and slay armies of thousands in just one swing.
“It’s time to teach the rest of you a lesson, you f*ckers.”
"
4269,A Heart for the Emperor,ROMANCE,"6S,coconutberry,yuIIimni",TUESDAY,3,156097,6.68,2535032,239913,ONGOING,True,"Our protagonist ends her day as usual, rereading her favorite novel before sleep. But, after awakening in the body of Princess Charlioni of the Kingdom of Linoa, the protagonist of that very novel, she realizes that it's only a matter of time before her kingdom is ruthlessly defeated at the hands of Casikaf, the blood-thirsty Emperor of Pretas. Fortunately, she has the upper hand of knowing that he’ll fall madly in love with her at first sight. But when the novel starts veering off track and every character isn't who they appear to be, she'll have to take matters into her own hands to get her happy ending. "
4212,Never-Ending Darling,THRILLER,Woollee,TUESDAY,6,95210,9.75,835735,89216,ONGOING,False,"Ha-im Yun lives in a world where people register their DNA into cloning databases, a world where human suffering has basically been eradicated. The brilliant mind behind this cloning technology is none other than Ha-im’s boyfriend of five years, Geunhu Ji. Their relationship isn’t perfect, but they make it work -- or so Ha-im thinks, until she finds a dead body at her boyfriend’s house… and the dead body is hers. The next day, she wakes up with no recollection of the previous day until she finds a note from herself in her room…
“Ha-im, if you’re reading this, you’re a clone.”"
4210,Time and Reason,ROMANCE,Colabear,FRIDAY,5,93958,8.59,634410,51605,ONGOING,False,"10 years ago, Banji and Baek-yeong, along with his three younger siblings, spent their happiest moments together. It seemed like time would last forever. But one day, it all came crashing down and Banji and Baek-yeong parted ways. 10 years later, the two fatefully meet again as coworkers, but Banji pushes Baek-yeong away. As for Baek-yeong, he is determined to reconnect with Banji because he doesn’t want to lose her again. Will Banji and Baek-yong be able to rekindle the relationship they once had?"
4209,Twilight Poem,FANTASY,"Kim Suji,MIDNIGHT STUDIO",WEDNESDAY,5,158481,9.77,1025787,117000,ONGOING,False,"Soru is a princess born from illegitimacy, and able to see ghosts although she is completely blind. Jahyeon is a heroic general who possesses the sun’s aura which can chase away spirits. Yato is the deadliest and most beautiful ghost, but his heart can’t feel anything. Soru and Jahyeon become bound to one another in an undesired marriage, but they both need each other –- she needs his aura, he needs her divine blood. As Soru’s unconditional sacrifice and love toward Jahyeon slowly melts his frozen heart, the same happens to Yato’s emotionless heart. All three have something that they need and want from one another. Could they become the salvation they need for one another?"
4208,Maybe Meant to Be,ROMANCE,"honeyskein,damcho",FRIDAY,6,539211,9.78,4066146,426087,ONGOING,False,"Jia Han, a 32-year-old freelancer with no work, is tired of her parents nagging her to get married and finally move out. When she runs into her childhood friend, Mincheol Jin, who is also feeling the same pressure from his parents, she blurts out that they should just get married to solve both of their problems. Little did she know he’d accept her suggestion, and she suddenly finds herself thrust into marriage. A story of an unexpected romance that’ll have you scrolling for more!"
4188,Teenage Dragon,COMEDY,Peanut,TUESDAY,6,54137,9.61,618171,55745,ONGOING,False,"“Hi! My name is Minji Kim. I used to be a teenage girl but after waking up from a nap one day, I turned into a fugly lizard! I want to go home! Somebody help! Wait… but, if I'm in this strange body, who’s in mine?!”

Minji is a high school girl living a normal life in an ordinary world. After waking up from her usual nap in class one day, she discovers that she has transformed into a powerful dragon who lives in an out-of-the-ordinary land. Minji forms a group of eccentric friends by using her wits, and together they embark on a journey to help Minji find her way back to her own world. Will Minji ever be able to return home?
"
4187,Phone Addict,ROMANCE,"HD,8",SATURDAY,5,136870,9.46,1064439,101529,ONGOING,False,"Do you ever find yourself glued to your phone screen all day? Such is the case for Damu Ju, a girl in her third year of high school who has a particular attachment to her relatively ancient smartphone of ten years. All she wants is to graduate quietly with no trouble, but her high school life becomes anything but ordinary when one day, her smartphone transforms into a cute human boy – who still functions as a phone!"
4182,Disconnected from Reality,THRILLER,"HHAANN,LIMYE",SUNDAY,10,101403,9.43,1121734,105911,ONGOING,False,"“Please help! I’ve been kidnapped by this man. Please call the police!”
Just like any other night, Hyeseong spends his time playing games with an online friend, Nana. But when Nana goes AFK and accidentally leaves his mic on, Hyeseong hears the voice of a panicked girl crying for help, saying she’s been kidnapped.
Once Nana gets back, he sounds suspicious of Hyeseong, even asking questions that sound like he’s trying to gauge Hyeseong’s reaction. Despite Hyeseong trying to act as natural as possible, Nana insists on meeting IRL…"
4180,Dreaming Freedom,DRAMA,2L,THURSDAY,5,134251,9.53,2473515,243740,ONGOING,True,"Jeongmin is a loner in high school being bullied by the Queen Bee, Juhyeon. The two were friends in elementary school before their friendship ended because of Juhyeon’s demand that Jeongmin should only be friends with her. Juhyeon uses this “betrayal” to fuel the classmates' insults and isolate Jeongmin in misery. Jeongmin has only one way to escape, through lucid dreams. One day, a mysterious man enters her dreams and offers to help her get revenge on Juhyeon…"
4179,Long After the Ending,ROMANCE,"Dorae,Wonderdream",SATURDAY,10,193253,9.6,1826493,251222,ONGOING,False," Elena Taylor, the former villainess of a romance story, has decided to walk away from the main story and open a Romance Counselling business. As an independent woman trying to find her footing in society with her fledgling venture, she is given the hardest request she’s ever encountered: help the sub-lead of the main plot, Hugh Godwin, debut in High-Society and get married, or get kicked out of the building she lives and works out of! Elena soon realizes that she’s in trouble when she meets Hugh, a burly, muscular bear of a knight who’s been burned by love. Will Elena be able to convince Hugh to find romance and keep her business running?"
4178,Our Secret Alliance,ROMANCE,Cakenyam,SATURDAY,10,146531,9.55,1304861,136149,ONGOING,False,From childhood friends to lovers! Se-i Yun and Jaeha Kim are model high school students who form an alliance to escape the prying eyes of their strict parents. They used to be childhood friends until something caused them to drift apart. Will this fake alliance be able to bring them back together?
